bin,Sample,Museum,Species,Sex,Age,Year,Country,Region,Oral.health,GenomeBin,Specific lineage dataset,%Complete (specific),%Complete and single-copy (specific),%Complete and duplicated (specific),%Fragmented (specific),%Missing (specific),Total number (specific),Assembly,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,GC (%),N50,N75,L50,L75,# N's per 100 kbp,# predicted rRNA genes,DepthSum,bin_type,bin_path,Marker lineage,# genomes,# markers,# marker sets,0,1,2,3,4,5+,Completeness,Contamination,Strain heterogeneity,classification,closest_genome_reference,closest_genome_reference_radius,closest_genome_taxonomy,closest_genome_ani,closest_genome_af,closest_placement_reference,closest_placement_radius,closest_placement_taxonomy,closest_placement_ani,closest_placement_af,pplacer_taxonomy,classification_method,note,other_related_references(genome_id;species_name;radius;ANI;AF),msa_percent,translation_table,red_value,warnings
MEGAHIT-MetaBAT2Refined-DM_005.20.fa.gz,DM_005,Adametz collection,Sus scrofa domesticus,,,<1940,,,,MEGAHIT-MetaBAT2Refined-DM_005.20.fa.gz,bacteria_odb10,85.5,84.7,0.8,9.7,4.8,124,MEGAHIT-MetaBAT2Refined-DM_005.20.fa.gz,419,419,193,54,3,0,2458909,2458909,1793555,817856,88012,0,419,31137,2458909,48.71,7558,4651,102,204,0.0,0 + 0 part,39,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-DM_005.20.fa.gz,k__Bacteria (UID2569),434,278,186,21,252,5,0,0,0,91.48,1.2,80.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__Limimorpha;s__,,,,,,,,,,,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__Limimorpha;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,,88.76,11.0,0.98167,
MEGAHIT-MetaBAT2Refined-DM_005.6.fa.gz,DM_005,Adametz collection,Sus scrofa domesticus,,,<1940,,,,MEGAHIT-MetaBAT2Refined-DM_005.6.fa.gz,bacteria_odb10,84.7,84.7,0.0,6.5,8.8,124,MEGAHIT-MetaBAT2Refined-DM_005.6.fa.gz,127,127,100,67,30,7,2204851,2204851,2108657,1852914,1215236,399102,127,84980,2204851,66.11,29735,16091,26,52,0.0,2 + 0 part,41,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-DM_005.6.fa.gz,p__Actinobacteria (UID2112),31,211,124,8,198,5,0,0,0,94.35,0.82,20.0,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__UBA1367;s__UBA1367 sp002305995,GCA_002305995.1,95.0,d__Bacteria;p__Actinomycetota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__UBA1367;s__UBA1367 sp002305995,99.93,0.89,,,,,,,ani_screen,classification based on ANI only,,,,,
MEGAHIT-MetaBAT2Refined-DM_005.8.fa.gz,DM_005,Adametz collection,Sus scrofa domesticus,,,<1940,,,,MEGAHIT-MetaBAT2Refined-DM_005.8.fa.gz,bacteria_odb10,16.1,15.3,0.8,12.1,71.8,124,MEGAHIT-MetaBAT2Refined-DM_005.8.fa.gz,154,154,65,42,18,1,1459737,1459737,1200479,1031034,653706,53406,154,53406,1459737,57.88,22523,8032,22,50,0.0,2 + 2 part,50,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-DM_005.8.fa.gz,p__Euryarchaeota (UID3),148,187,124,11,166,10,0,0,0,92.34,3.58,30.0,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__,,,,,,GCA_002503545.1,95.0,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus sp002503545,88.8,0.644,d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__,taxonomic classification defined by topology and ANI,,GCF_000300255.2; s__Methanomethylophilus alvus; 95.0; 84.35; 0.307,86.32,11.0,0.98684,Genome not assigned to closest species as it.fa.gzlls outside its pre-defined ANI radius
MEGAHIT-MetaBAT2Refined-MV_082.19.fa.gz,MV_082,NHM Vienna,Meles meles,,,1981,Austria,,,MEGAHIT-MetaBAT2Refined-MV_082.19.fa.gz,bacteria_odb10,71.8,70.2,1.6,11.3,16.9,124,MEGAHIT-MetaBAT2Refined-MV_082.19.fa.gz,378,378,159,48,6,0,2185968,2185968,1535292,770994,183027,0,378,41871,2185968,57.23,7357,4386,87,182,0.0,0 + 0 part,15,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-MV_082.19.fa.gz,k__Bacteria (UID209),5443,105,59,5,98,2,0,0,0,91.53,0.49,50.0,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__;s__,,,,,,,,,,,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,,82.09,11.0,0.80175,
MEGAHIT-MetaBAT2Refined-MV_082.26.fa.gz,MV_082,NHM Vienna,Meles meles,,,1981,Austria,,,MEGAHIT-MetaBAT2Refined-MV_082.26.fa.gz,bacteria_odb10,72.6,72.6,0.0,10.5,16.9,124,MEGAHIT-MetaBAT2Refined-MV_082.26.fa.gz,540,540,168,37,0,0,2469333,2469333,1413347,501929,0,0,540,22893,2469333,63.25,5756,3484,135,273,0.0,0 + 1 part,36,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-MV_082.26.fa.gz,k__Bacteria (UID209),5443,105,59,6,97,2,0,0,0,92.22,3.39,50.0,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Aminobacteriaceae;g__CAJPSE01;s__CAJPSE01 sp003860125,GCF_003860125.1,95.0,d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Aminobacteriaceae;g__CAJPSE01;s__CAJPSE01 sp003860125,98.75,0.852,,,,,,,ani_screen,classification based on ANI only,,,,,
MEGAHIT-MetaBAT2Refined-MV_082.2.fa.gz,MV_082,NHM Vienna,Meles meles,,,1981,Austria,,,MEGAHIT-MetaBAT2Refined-MV_082.2.fa.gz,bacteria_odb10,79.0,78.2,0.8,8.1,12.9,124,MEGAHIT-MetaBAT2Refined-MV_082.2.fa.gz,716,716,259,66,0,0,3538613,3538613,2178301,857989,0,0,716,21633,3538613,46.63,6266,3760,186,370,0.0,0 + 0 part,19,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-MV_082.2.fa.gz,k__Bacteria (UID2570),433,273,183,33,229,11,0,0,0,90.56,3.73,18.18,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Petrimonas;s__,,,,,,GCA_002356435.2,95.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Petrimonas;s__Petrimonas sp002356435,89.58,0.404,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Dysgonomonadaceae;g__Petrimonas;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,GCA_022840285.1; s__Petrimonas sp022840285; 95.0; 87.26; 0.28,78.49,11.0,0.99327,
MEGAHIT-MetaBAT2Refined-MV_082.6.fa.gz,MV_082,NHM Vienna,Meles meles,,,1981,Austria,,,MEGAHIT-MetaBAT2Refined-MV_082.6.fa.gz,bacteria_odb10,91.9,90.3,1.6,4.8,3.3,124,MEGAHIT-MetaBAT2Refined-MV_082.6.fa.gz,491,491,190,63,2,0,2687120,2687120,1754082,862910,58981,0,491,33475,2687120,46.74,6914,4314,122,247,0.0,1 + 0 part,22,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-MV_082.6.fa.gz,k__Bacteria (UID2569),434,278,186,18,253,7,0,0,0,91.49,3.23,14.29,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__Limimorpha;s__Limimorpha sp029983675,GCA_029983675.1,95.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__F082;g__Limimorpha;s__Limimorpha sp029983675,99.69,0.879,,,,,,,ani_screen,classification based on ANI only,,,,,
MEGAHIT-MaxBin2Refined-MV_066.003.fa.gz,MV_066,NHM Vienna,Meles meles,male,,1988,Austria,,,MEGAHIT-MaxBin2Refined-MV_066.003.fa.gz,bacteria_odb10,90.3,87.9,2.4,2.4,7.3,124,MEGAHIT-MaxBin2Refined-MV_066.003.fa.gz,564,564,200,77,9,1,3032790,3032790,2162344,1294478,287739,53451,564,53451,3032790,35.18,8747,4290,101,225,0.0,2 + 0 part,124,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MaxBin2Refined-MV_066.003.fa.gz,p__Bacteroidetes (UID2605),350,316,210,19,281,15,1,0,0,95.32,4.83,27.78,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__,,,,,,GCF_000379185.1,95.0,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__Capnocytophaga cynodegmi,91.21,0.712,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Capnocytophaga;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,GCF_002302635.1; s__Capnocytophaga stomatis; 95.0; 85.41; 0.365; GCF_009684755.1; s__Capnocytophaga felis; 95.0; 84.37; 0.34,82.01,11.0,0.99299,Genome not assigned to closest species as it.fa.gzlls outside its pre-defined ANI radius
MEGAHIT-MetaBAT2Refined-MV_066.11.fa.gz,MV_066,NHM Vienna,Meles meles,male,,1988,Austria,,,MEGAHIT-MetaBAT2Refined-MV_066.11.fa.gz,bacteria_odb10,93.5,91.9,1.6,0.8,5.7,124,MEGAHIT-MetaBAT2Refined-MV_066.11.fa.gz,181,181,101,58,10,3,1753105,1753105,1501272,1174937,461933,242611,181,116073,1753105,38.03,14054,8247,33,74,0.0,0 + 1 part,45,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-MV_066.11.fa.gz,o__Lactobacillales (UID355),490,333,183,11,309,12,1,0,0,96.21,3.75,20.0,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__;s__,,,,,,,,,,,d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__;s__,taxonomic novelty determined using RED,classification based on placement in class-level tree,,90.33,11.0,0.87506,
MEGAHIT-MetaBAT2Refined-MV_066.17.fa.gz,MV_066,NHM Vienna,Meles meles,male,,1988,Austria,,,MEGAHIT-MetaBAT2Refined-MV_066.17.fa.gz,bacteria_odb10,87.1,86.3,0.8,4.8,8.1,124,MEGAHIT-MetaBAT2Refined-MV_066.17.fa.gz,279,279,208,104,9,0,2770802,2770802,2545477,1766069,276114,0,279,48057,2770802,60.12,12819,8116,71,139,0.0,0 + 0 part,42,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-MV_066.17.fa.gz,o__Actinomycetales (UID1809),267,400,222,22,367,11,0,0,0,96.47,2.98,18.18,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__,,,,,,GCF_030532715.1,95.0,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium sp030532715,81.62,0.191,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,GCF_030408595.1; s__Corynebacterium canis; 95.0; 82.68; 0.248,88.8,11.0,0.98972,
MEGAHIT-MetaBAT2Refined-MV_066.34.fa.gz,MV_066,NHM Vienna,Meles meles,male,,1988,Austria,,,MEGAHIT-MetaBAT2Refined-MV_066.34.fa.gz,bacteria_odb10,92.7,91.1,1.6,2.4,4.9,124,MEGAHIT-MetaBAT2Refined-MV_066.34.fa.gz,144,144,122,89,39,1,2509081,2509081,2443890,2202675,1404865,50065,144,50065,2509081,61.22,27134,15713,34,64,0.0,0 + 0 part,140,refined,/cfs/klemming/projects/snic/sllstore2017021/MAMMALIAN_DC/output/M2_nfcore_mag/GenomeBinning//DASTool/bins/MEGAHIT-MetaBAT2Refined-MV_066.34.fa.gz,o__Burkholderiales (UID4000),193,427,214,21,397,9,0,0,0,93.85,1.57,0.0,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Brachymonas;s__,,,,,,,,,,,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Brachymonas;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,GCA_030529505.1; s__Brachymonas sp030529505; 95.0; 87.51; 0.45; GCA_030529305.1; s__Brachymonas sp030529305; 95.0; 86.92; 0.375,91.9,11.0,0.99007,
